LOAD(kW),SG(t)
164.4469869,0
173.2462481,0
207.5018009,0.04519773
225.1619598,0.1625916
261.6973482,0.39119508
259.4890672,0.53737272
294.0448099,0.6387865
301.8254937,0.677164
275.4034196,0.654675
277.1723065,0.5769869
287.5933183,0.43862752
271.2665596,0.26439496
269.3615547,0.08525524
284.877873,0
287.0516292,0
298.3769269,0
289.2580787,0
303.2849754,0
284.4306809,0
260.5959773,0
226.2089779,0
175.2037379,0
162.6961468,0
157.0540206,0
166.4151832,0
174.3784566,0
175.3445927,0.00444835
234.7400206,0.01597536
270.2100827,0.09925776
277.5129372,0.10801514
301.7942281,0.09557352
307.323269,0.21847397
306.2152991,0.265224
260.6412618,0.2244471
276.360274,0.16443888
281.6158716,0.24512838
265.2559169,0.0159444
272.5912781,0
304.0864704,0
300.4038924,0
319.1243783,0
302.1776196,0
291.7924821,0
277.1665402,0
224.4195863,0
193.2585379,0
178.791191,0
168.0440154,0
169.7298771,0
176.9320557,0
180.5376059,0.01411088
244.8556776,0.00967758
240.1873694,0.0790254
252.370559,0.13961154
300.4390764,0.18623988
260.6981339,0.14509275
295.2006127,0.24029733
296.1780332,0.08290142
287.492006,0.14933685
294.2693638,0.13451088
291.4169256,0.01949706
285.3468301,0
269.6179652,0
259.1525806,0
271.5081071,0
262.7114561,0
268.3479037,0
250.7388108,0
234.6072084,0
213.7306696,0
200.6386458,0
164.2366791,0
175.7803532,0
168.1207094,0
176.2309073,0.0442255
174.7011226,0.213323
218.0713039,0.19395623
227.6284121,0.33989264
237.5480905,0.64696725
257.5977634,0.6825261
242.7474924,0.66154554
276.5856725,0.4143222
257.9865458,0.23237544
264.3700922,0.06206749
255.0119579,0.05102724
247.0634073,0
253.3199018,0
258.2501317,0
292.4681131,0
281.3356042,0
260.9860565,0
263.6734054,0
225.6566078,0
222.5096934,0
179.4850446,0
172.4728582,0
170.4320039,0
161.9381323,0
175.9699433,0.02853824
194.270235,0.01156571
209.7592798,0.32467494
231.8279851,0.29454183
223.2287613,0.25966668
240.9410446,0.09362132
